Date,Weekday,Competition,Home,Away
08/03/25 09:00,Saturday,Under 12s League Vase Semi Final,CONSETT WARRIORS,FELLING MAGPIES
15/03/25 09:00,Saturday,Under 12 9v9 Division 10,HEIGHINGTON FC,CONSETT WARRIORS
22/03/25 09:00,Saturday,Under 12 9v9 Division 10,CONSETT WARRIORS,CHESTER LE STREET UNITED BLUES
29/03/25 10:10,Saturday,Under 12 9v9 Division 10,CONSETT WARRIORS,WEAR UNITED
05/04/25 12:30,Saturday,Under 12 9v9 Division 10,CONSETT WARRIORS,DEERNESS VALLEY FC THUNDER
12/04/25 11:20,Saturday,Under 12 9v9 Division 10,CONSETT WARRIORS,EAST DURHAM YOUTH BLUES 
26/04/25 10:10,Saturday,Under 12 9v9 Division 10,CONSETT WARRIORS,WHITBURN PANTHERS FC U12S
03/05/25 12:30,Saturday,Under 12 9v9 Division 10,CONSETT WARRIORS,WASHINGTON ATHLETIC FEYENOORD
10/05/25 10:40,Saturday,Under 12 9v9 Division 10,VELOCITY VIPERS,CONSETT WARRIORS
14/05/25 18:00,Wednesday,Under 12 9v9 Division 10,CONSETT WARRIORS,WASHINGTON UNITED BLACKS
17/05/25 10:00,Saturday,Under 12 9v9 Division 10,NORTH EAST SPORTS ROCKETS ,CONSETT WARRIORS
24/05/25 11:20,Saturday,Under 12 9v9 Division 10,WASHINGTON ATHLETIC FEYENOORD,CONSETT WARRIORS
28/05/25 18:00,Wednesday,Under 12 9v9 Division 10,CONSETT WARRIORS,FISHBURN COMMUNITY
31/05/25 09:00,Saturday,Under 12 9v9 Division 10,WHITBURN PANTHERS FC U12S,CONSETT WARRIORS
